Nation,Region,City,ClubName,Prestige
ITA,Lombardia,Milano,Team Trezzo Sport,4
ITA,Lombardia,Milano,Gestisport,3
ITA,Lombardia,Milano,DDS Milano,4
ITA,Lombardia,Milano,Nuotatori Milanesi,4
ITA,Lombardia,Brescia,AN Brescia,4
ITA,Lombardia,Brescia,Vittoria Alata,3
ITA,Lombardia,Bergamo,Olimpic Swim Pro,3
ITA,Lombardia,Varese,Robur et Fides,3
ITA,Lombardia,Como,Como Nuoto,3
ITA,Lombardia,Cremona,Canottieri Bissolati,4
ITA,Lombardia,Mantova,Canottieri Mincio,3
ITA,Lombardia,Lecco,Lecco Olimpica,2
ITA,Lombardia,Monza,Nuoto Club Monza,3
ITA,Lombardia,Pavia,Pavia Nuoto,2
ITA,Lazio,Roma,CC Aniene,5
ITA,Lazio,Roma,Aurelia Nuoto,4
ITA,Lazio,Roma,Tiro a Volo Nuoto,4
ITA,Lazio,Roma,Forum Sport Center,3
ITA,Lazio,Roma,Larus Nuoto,4
ITA,Lazio,Roma,Heaven Due,3
ITA,Lazio,Roma,Roma Nuoto,3
ITA,Lazio,Latina,Amatori Nuoto Latina,3
ITA,Lazio,Viterbo,Cosernuoto,2
ITA,Lazio,Frosinone,Frosinone Nuoto,2
ITA,Veneto,Padova,Team Veneto,5
ITA,Veneto,Padova,Padovanuoto,4
ITA,Veneto,Verona,Fondazione Bentegodi,4
ITA,Veneto,Venezia,Nuoto Venezia,3
ITA,Veneto,Treviso,Natatorium Treviso,4
ITA,Veneto,Vicenza,Leosport,4
ITA,Veneto,Belluno,Sportively Belluno,2
ITA,Veneto,Rovigo,Rovigo Nuoto,2
ITA,Emilia-Romagna,Imola,Imolanuoto,5
ITA,Emilia-Romagna,Bologna,CN UISP Bologna,4
ITA,Emilia-Romagna,Bologna,De Akker Team,4
ITA,Emilia-Romagna,Parma,Coopernuoto,3
ITA,Emilia-Romagna,Modena,Modena Nuoto,3
ITA,Emilia-Romagna,Rimini,Polisportiva Riccione,4
ITA,Emilia-Romagna,Ravenna,Rinascita Team Romagna,3
ITA,Emilia-Romagna,Ferrara,CUS Ferrara,2
ITA,Piemonte,Torino,Centro Nuoto Torino,5
ITA,Piemonte,Torino,Rari Nantes Torino,4
ITA,Piemonte,Torino,Sisport,4
ITA,Piemonte,Novara,Libertas Nuoto Novara,3
ITA,Piemonte,Cuneo,CSR Granda,3
ITA,Piemonte,Alessandria,Swimming Club Alessandria,2
ITA,Toscana,Firenze,Rari Nantes Florentia,4
ITA,Toscana,Firenze,FlorentiaNuotoClub,4
ITA,Toscana,Livorno,Livorno Aquatics,4
ITA,Toscana,Prato,Azzurra Nuoto Prato,3
ITA,Toscana,Pisa,Canottieri Arno Pisa,3
ITA,Toscana,Siena,Virtus Poggibonsi,2
ITA,Liguria,Genova,Genova Nuoto,4
ITA,Liguria,Genova,Andrea Doria,3
ITA,Liguria,Genova,Aragno Rivarolesi,3
ITA,Liguria,Chiavari,Chiavari Nuoto,3
ITA,Liguria,Savona,Amatori Nuoto Savona,3
ITA,Campania,Napoli,Circolo Canottieri Napoli,5
ITA,Campania,Napoli,Olimpic Nuoto Napoli,4
ITA,Campania,Napoli,Fritz Dennerlein,3
ITA,Campania,Caserta,Assonuoto Club Caserta,3
ITA,Campania,Salerno,Dream Team Salerno,3
ITA,Campania,Avellino,Avellino Nuoto,2
ITA,Puglia,Bari,CUS Bari,4
ITA,Puglia,Bari,Netium,3
ITA,Puglia,Lecce,Olimpica Salentina,3
ITA,Puglia,Taranto,Mediterraneo Sport,3
ITA,Puglia,Foggia,Foggia Nuoto,2
ITA,Sicilia,Palermo,Polisportiva Nadir,4
ITA,Sicilia,Palermo,Telimar,3
ITA,Sicilia,Catania,Poseidon Swim,4
ITA,Sicilia,Catania,Sicilia Nuoto,3
ITA,Sicilia,Messina,Power Team Messina,2
ITA,Sardegna,Cagliari,Esperia Cagliari,4
ITA,Sardegna,Cagliari,Promogest,3
ITA,Sardegna,Sassari,Sport Full Time,3
ITA,Marche,Pesaro,Vis Sauro Nuoto,4
ITA,Marche,Ancona,Vela Nuoto Ancona,3
ITA,Umbria,Perugia,Centro Nuoto Bastia,3
ITA,Abruzzo,Pescara,SGT Sport,3
USA,California,Berkeley,California Golden Bears,5
USA,California,Stanford,Stanford Swimming,5
USA,California,Los Angeles,Trojan Swim Club,5
USA,California,Irvine,Irvine Novaquatics,4
USA,California,Mission Viejo,Mission Viejo Nadadores,4
USA,California,Santa Clara,Santa Clara Swim Club,4
USA,California,Palo Alto,Alto Swim Club,4
USA,California,San Diego,Aztec Aquatics,3
USA,California,Pasadena,Rose Bowl Aquatics,3
USA,California,Brea,Brea Aquatics,3
USA,California,Clovis,Clovis Swim Club,3
USA,California,Pleasanton,Pleasanton Seahawks,3
USA,California,Walnut Creek,Walnut Creek Aquabears,3
USA,California,La Mirada,La Mirada Armada,3
USA,California,Roseville,Roseville Aquatics,2
USA,California,San Jose,San Jose Spartans,2
USA,California,Fresno,Fresno Dolphins,2
USA,California,Sacramento,Sacramento Aquatics,2
USA,California,Santa Monica,Santa Monica Swim,2
USA,California,Santa Barbara,Santa Barbara Swim,2
USA,Texas,Austin,Texas Longhorns,5
USA,Texas,Dallas,Dallas Mustangs,4
USA,Texas,San Antonio,Alamo Area Aquatics,4
USA,Texas,Houston,Katy Aquatics,4
USA,Texas,The Woodlands,Woodlands Swim Team,4
USA,Texas,Fort Worth,Fort Worth Area Swim,3
USA,Texas,Southlake,North Texas Nadadores,3
USA,Texas,Cypress,Fairbanks Swim,3
USA,Texas,Sugar Land,First Colony Swim,3
USA,Texas,Frisco,Frisco Aquatics,3
USA,Texas,Lubbock,Lubbock Swim Club,2
USA,Texas,El Paso,Aqua Posse,2
USA,Texas,Corpus Christi,Corpus Christi Swim,2
USA,Texas,Arlington,Arlington Aquatics,2
USA,Texas,Plano,Plano Amoeba,2
USA,Florida,Gainesville,Florida Gators,5
USA,Florida,Jacksonville,Bolles School Sharks,5
USA,Florida,Sarasota,Sarasota Sharks,4
USA,Florida,Fort Lauderdale,Swim Fort Lauderdale,4
USA,Florida,Miami,Miami Hurricanes,4
USA,Florida,Orlando,Orlando Aquatics,3
